Наименование устройства;Идентификационный номер;Тип устройства;Адрес, где находится устройство
CSD-модем IRZ-MC52iT;3,56499E+14;Модем;Краснодарский край, станица Каневская
Меркурий 234;43893223;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;43291660;Электросчетчик;Краснодарский край, станица Брюховецкая
Меркурий 234;43998125;Электросчетчик;Краснодарский край, станица Павловская
Меркурий 234;43998147;Электросчетчик;Краснодарский край, станица Павловская
CSD-модем IRZ-MC52iT;3,56499E+14;Модем;г. Краснодар, ул. Ставропольская
Меркурий 234;43998133;Электросчетчик;Краснодарский край, станица Павловская
Меркурий 234;43962845;Электросчетчик;Краснодарский край, станица Брюховецкая
Меркурий 234;43998134;Электросчетчик;Краснодарский край, станица Павловская
Меркурий 234;43962846;Электросчетчик;Краснодарский край, станица Брюховецкая
Меркурий 234;43291623;Электросчетчик;Краснодарский край, станица Брюховецкая
Меркурий 234;43962851;Электросчетчик;Краснодарский край, станица Брюховецкая
Меркурий 234;43962815;Электросчетчик;Краснодарский край, станица Брюховецкая
Меркурий 234;39055162;Электросчетчик;Краснодарский край, станица Каневская
Меркурий 234;39055222;Электросчетчик;Краснодарский край, станица Каневская
Меркурий 234;38391035;Электросчетчик;Краснодарский край, станица Каневская
Меркурий 234;38041384;Электросчетчик;г. Краснодар, ул. Транспортная
Меркурий 234;38041441;Электросчетчик;г. Краснодар, ул. Транспортная
Меркурий 234;36716146;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;36716294;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;36716165;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;36716150;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;43962825;Электросчетчик;Краснодарский край, станица Брюховецкая
Меркурий 234;42411194;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;42170873;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;41889340;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;41889345;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;41889303;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;42411188;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;41917316;Электросчетчик;Краснодарский край, станица Стародеревянковская
Меркурий 234;44018712;Электросчетчик;Краснодарский край, станица Кущевская
Меркурий 234;44018334;Электросчетчик;Краснодарский край, станица Кущевская
Меркурий 234;44995388;Электросчетчик;Краснодарский край, станица Каневская
Меркурий 234;44996814;Электросчетчик;Краснодарский край, станица Каневская
